ObjectID,Name,Location,City,Description,Elevation,Latitude,Longitude,WorkTime,Contact,Rating,
1,Novo Lisiche - Zona 24/7,Bulevar Vidoe Smilevski Bato,Skopje,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",242,41.9829473,21.4725701,Open 24/7,Fax: +389 2 321 9901,3,
2,Bankomati Karposh 4,Manapo 7,Skopje,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",255,42.0073671,21.3929341,Open 24/7,Fax: +389 2 308 8930,4.5,
3,TC Ramstor,Sv. Kiril i Metodij Centar,Skopje,Bankomat,255,41.9921545,21.4268954,Open 24/7,Fax: +389 2 244 6000,1,
4,Bankomati Kapishtec,Jurij Gagarin 17 Kapishtec,Skopje,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",268,41.9946501,21.4101052,Open 24/7,Fax: +389 2 3219904,3.5,
5,TC Veles,Blagoj Gjorev 107 Nova Naselba,Veles,Uplati / Isplati vo MKD / EUR,210,41.7142670,21.7671800,Open 24/7,Fax: +389 2 244 60 00,3,
6,Bankomati Kumanovo,Done Bozhinov 1,Kumanovo,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR / USD",346,42.1370112,21.7180196,Open 24/7,Fax: +389 2 244 6000,5,
7,Bankomati Shtip,Marshal Tito 4b,Shtip,Uplati / Isplati vo MKD / EUR,288,41.7372325,22.1923010,Open 24/7,Fax: +389 2 244 6000,5,
8,Bankomati Strumica,Blagoj Jankov Mucheto 2,Strumica,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",250,41.4373136,22.6371736,Open 24/7,Fax: +389 2 244 6000,4,
9,Bankomati Prilep,Marshal Tito 1/1,Prilep,Uplati / Isplati vo MKD / EUR,657,41.3474776,21.5560648,Open 24/7,Fax: +389 2 244 6000,3,
10,Bankomati Bitola,Dobrivoe Radosavlevikj 10,Bitola,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",614,41.0301115,21.3355811,Open 24/7,Fax: +389 2 244 6000,4.5,
11,Bankomati Ohrid,Turisticka bb,Ohrid,Uplati/Isplati vo MKD/EUR,705,41.1164690,20.8026760,Open 24/7,Fax: +389 2 244 6000,4,
12,Bankomati Struga,Proleterska Brigada bb,Struga,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",691,41.1788202,20.6762418,Open 24/7,Fax: +389 2 244 6000,3,
13,Gostivar- Zona 24/7,Brakja Gjinoski,Gostivar,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",529,41.8025541,20.9089378,Open 24/7,Fax: +389 2 244 6000,3.5,
14,Bankomati Tetovo 1,Boris Kidrich 1,Tetovo,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",468,42.0103840,20.9715370,Open 24/7,Fax: +389 2 244 6000,5,
15,Centralna uprava,Manapo 7,Skopje,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",255,42.0073671,21.3929341,"Mon - Fri from 08:00 to 16:00 
Sat from 09:00 to 13:00",Fax: +389 2 308 8930,4.5,
16,Ekspozitura Karposh,Manapo 7,Skopje,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",255,42.0073671,21.3929341,"Mon - Fri from 08:00 to 16:00 
Sat from 09:00 to 13:00",Fax: +389 2 308 8930,4.5,
17,Ekspozitura Kapishtec,Jurij Gagarin 17 Kapishtec,Skopje,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",268,41.9946501,21.4101052,"Mon - Fri from 08:00 to 17:00 
Sat from 09:00 to 13:00",Fax: +389 2 3219904,3.5,
18,Ekspozitura Tetovo 1,Boris Kidrich 1,Tetovo,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",468,42.0103840,20.9715370,Mon-Fri from 09:00 to 17:00,Fax: +389 2 244 6000,5,
19,Ekspozitura Struga,Proleterska brigada bb,Struga,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",691,41.1788202,20.6762418,Mon-Fri from 09:00 to 17:00,Fax: +389 2 244 6000,3,
20,Ekspozitura Bitola,Dobrivoe Radosavlevikj 10,Bitola,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",614,41.0301115,21.3355811,Mon-Fri from 09:00 to 17:00,Fax: +389 2 244 6000,4.5,
21,Ekspozitura Kumanovo,Done Bozhinov 1,Kumanovo,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR / USD",346,42.1370112,21.7180196,Mon - Fri from 09:00 to 17:00 ,Fax:  + 389 2 244 60 00 ,5,
22,Ekspozitura Shtip ,Marshal Tito 4b,Shtip,Uplati / Isplati vo MKD / EUR,288,41.7372325,22.1923010,Closes: 5PM; Reopens: 9PM,Fax: +389 2 244 6000,5,
23,Ekspozitura Strumica,Blagoj Jankov Mucheto 2,Strumica,"Sef za dneven promet, Uplati / Isplati vo MKD / EUR",250,41.4373136,22.6371736,Mon - Fri from 09:00 to 17:00 ,Fax: +389 2 244 6000,4,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
